(.*)[Hh]iding ([2-5]xx) responses(.*)	$1 $2レスポンス非表示$3
(.*)[Hh]iding ([2-5]xx, )?([2-5]xx, )?((, )?[2-5]xx) and ([2-5]xx) responses(.*)	$1 $2$3$4$5, $6レスポンス非表示$7
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?general text, image(, flash)? and general binary content(.*)	$1$2$3$4$5, 一般的なテキスト, 画像$6, 一般的なバイナリコンテンツ非表示$2
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?image and general binary content(.*)	$1$2$3$4$5画像, 一般的なバイナリコンテンツ非表示$2
(.*)[Hh]iding empty folders(.*)	$1空のフォルダ非表示$2
(.*)[Hh]iding not found items(.*)	$1存在しないアイテム非表示$2
([0-9]+) \\(approx\\)	約$1
([0-9]+) items?　selected	$1個のアイテムを選択
([0-9]+) items?	$1個のアイテム
([0-9]+) letter words	$1文字単語
([0-9]+) payload positions?	$1個のペイロードポジション
([0-9]+) results?	$1件の結果
([1-9][0-9]?) matches	$1件ヒット
\\(Leave blank to run once only\\)	(一度のみ実行する場合は空白のまま)
\\[NOT SELECTED\\]	[選択されていません]
0 matches	マッチなし
0 positions	ポジションなし
1 \\(LSB\\)	1(最下位ビット)
2xx  \\[success\\]	2xx  [成功]
3xx  \\[redirection\\]	3xx  [リダイレクト]
3xx status code with Location header	3xxステータスコードのLocationヘッダ
4xx  \\[request error\\]	4xx  [リクエストエラー]
5xx  \\[server error\\]	5xx  [サーバエラー]
8 \\(MSB\\)	8(最上位ビット)
A macro is a sequence of one or more requests. You can use macros within session handling rules to perform tasks such as logging in to the application, obtaining anti-CSRF tokens, etc.	マクロは、１つまたは複数のリクエストのシーケンスです。セッションハンドリングルール内でマクロを使用すると、アプリケーションへのログインや、CSRF対策トークンの取得などのタスクを実行できます。
About Burp Scanner	Burp Scannerについて
Action URL and method	送信先URLとメソッド
Action URL	送信先URL
Action URL, method and fields	送信先URL, メソッド, フィールド
Action URL, method, fields and values	送信先URL, メソッド, フィールド, 値
Action	アクション
Active and passive scanning	アクティブとパッシブスキャン
Active Scanning Areas	アクティブスキャン対象
Active Scanning Engine	アクティブスキャンエンジン
Active scanning only	アクティブスキャンのみ
Active Scanning Optimization	アクティブスキャン最適化
Actively scan defined insertion points	定義した挿入ポイントをアクティブスキャン
Actively scan selected items	選択したアイテムをアクティブスキャン
Actively scan this branch	このブランチをアクティブスキャン
Actively scan this host	このホストをアクティブスキャン
Add % prefix before each byte	各バイトの前に % を追加
Add §	§追加
Add comment	コメントを追加
Add entries here to override your computer's DNS resolution.	コンピュータのDNS名前解決を上書きするにはここに追加してください。
Add from list ...	リストから追加 ...
Add payload processing rule	ペイロード処理ルールを追加
Add platform authentication credentials	プラットフォーム認証のクレデンシャルを追加
Add random variations to throttle	ランダムなウェイトを追加する
Add to scope	スコープに追加
Add to site map	サイトマップに追加
Add upstream proxy rule	上位プロキシのルールを追加
Add URL to exclude from scope	スコープから除外するURLを追加する
Add URL to include in scope	スコープに含めるURLを追加する
Add	追加
Additional encrypted strings - optional	追加暗号文字列 - オプション
Advisory	アドバイザリ
After recovering session:	セッション復元後:
After running the macro, invoke a Burp extension action handler:	マクロ実行後、Burp拡張のアクションハンドラーを実行する:
Alerts	警告
All interfaces	全てのインタフェース
All tests were successful.	全てのテストが成功しました。
All tools:	全ツール:
Allow renderer to make HTTP requests \\(for images, etc.\\)	レンダラーがHTTPリクエストするのを許可する(画像など)
Allow requests to web interface using fully-qualified DNS hostnames	Webインタフェースで完全修飾DNSホスト名を許可する
