    Send    	    送信    
 Added 	  追加  
 Deleted 	 削除 
 Modified 	 変更 
 \.\.\. and ([,0-9]+) more\.	 ... その他$1件
"Pause automated tasks" option selected by default	"自動タスクを一時停止する"オプションをデフォルトで選択する
$1000	¥30000
% of audit items fail	%の診断アイテムが失敗した場合
% of requests time out	%のリクエストがタイムアウトした場合
(.*), ECB block shuffler(\.|,.*)	$1, ECBブロックシャッフル$2
(.*), bit flipper(\.|,.*)	$1, ビットフリッパー$2
(.*), brute forcer(\.|,.*)	$1, ブルートフォース$2
(.*), case modification(\.|,.*)	$1, 大文字小文字変換$2
(.*), character blocks(\.|,.*)	$1, 文字ブロック$2
(.*), character frobber(\.|,.*)	$1, 文字フロバー$2
(.*), character substitution(\.|,.*)	$1, 文字置換$2
(.*), copy other payload(\.|,.*)	$1, 他ペイロードコピー$2
(.*), custom iterator(\.|,.*)	$1, カスタムイテレータ$2
(.*), dates(\.|,.*)	$1, 日付$2
(.*), extension-generated(\.|,.*)	$1, 拡張による生成$2
(.*), illegal Unicode(\.|,.*)	$1, 不正なUnicode$2
(.*), null payloads(\.|,.*)	$1, ペイロードなし$2
(.*), numbers(\.|,.*)	$1, 数値$2
(.*), recursive grep(\.|,.*)	$1, 再帰検索$2
(.*), runtime file(\.|,.*)	$1, 実行時ファイル$2
(.*), simple list(\.|,.*)	$1, 単純リスト$2
(.*), username generator(\.|,.*)	$1, ユーザ名ジェネレータ$2
(.*)- Not saved to project file(.*)	$1- プロジェクトファイルに保存されていません$2
(.*)- Temporary attack(.*)	$1- 一時的攻撃$2
(.*)<h3>Description</h3>(.*)	$1<h3>解説</h3>$2
(.*)<h3>References</h3>(.*)	$1<h3>参考資料</h3>$2
(.*)<h3>Remediation</h3>(.*)	$1<h3>対策</h3>$2
(.*)<h3>Type index</h3>(.*)	$1<h3>タイプインデックス</h3>$2
(.*)<h3>Typical severity</h3>(.*)	$1<h3>一般的な危険度</h3>$2
(.*)<h3>Vulnerability classifications</h3>(.*)	$1<h3>脆弱性分類</h3>$2
(.*)Because some character positions within the sample use character sets whose size is not a round power of two, ([,0-9.]+) bits of data were compressed into other bits derived from the same character position.(.*)	$1サンプル内の一部の文字位置は2の累乗のサイズではない文字セットを使用するので、データの$2ビットは同じ文字位置から派生した他のビットに圧縮されました。$3
(.*)Click "Copy to clipboard" to generate Burp Collaborator payloads that you can use when testing(.*)	$1"クリックボードにコピー"をクリックすると、テストで使用するBurp Collaboratorのペイロードが生成されます。$2
(.*)Logger displays the history of all HTTP traffic sent between Burp's tools and your target applications\. This includes requests generated by extensions\.(.*)	$1Loggerは、Burpのツールと対象アプリケーションの間で送信されたすべてのHTTPトラフィックの履歴を表示します。これには、拡張が生成したリクエストも含みます。$2
(.*)Note that on some Windows installations the Control\+Alt combination is treated by the OS as equivalent to AltGr, and so may result in typed characters appearing when pressed in text fields\.	$1一部のWindowsインストールでは、Ctrl+Altの組み合わせはAltGrと同等として扱われるので、テキストフィールドに入力した文字が現れる可能性がある点に注意してください。
(.*)Requests sent by Burp's browser will be held here so that you can analyze and modify them before forwarding them to the target server\.(.*)	$1Burpブラウザが送信したリクエストがここにとどまり、対象サーバに転送する前に分析や変更ができます。$2
(.*)The chart shows the number of bits contributed by each character position.	$1グラフは、各文字位置が貢献したビット数を示しています。
(.*)The message inspector allows you to quickly decode data in WebSocket messages\. Select one or more characters that you want to decode\.(.*)	$1メッセージインスペクタを使用すると、WebSocketメッセージのデータを素早くデコードできます。デコードしたい文字を選択してください。$2
(.*)The message inspector provides a quick way to analyse interesting details and features of HTTP messages, and perform common operations on them\.(.*)	$1メッセージインスペクタを使うと、興味深いHTTPメッセージの詳細と機能を分析し、HTTPメッセージに対する一般的な操作を迅速に実行できます。$2
(.*)The overall bit counts for effective entropy have been adjusted to reflect this compression.(.*)	$1意味のあるエントロピーの全体ビットのカウントは、この圧縮を反映するように調整されています。$2
(.*)The site map displays information about the contents of your target applications, along with any issues that have been discovered\. This is automatically populated during scans and while you browse using Burp's browser\.(.*)	$1サイトマップは、対象アプリケーションのコンテンツに関する情報や発見された問題を表示します。これは、スキャン中やBurpブラウザでの巡回中に自動的に入力されます。$2
(.*)There is an uppercase letter or a colon in this header name:(.*)	$1ヘッダ名に大文字またはコロンが含まれている:$2
(.*)This displays the history of all HTTP traffic sent between Burp's browser and your target applications, even while intercept is switched off\.(.*)	$1Burpブラウザと対象アプリケーションの間で送信されたすべてのHTTPトラフィックの履歴を、インターセプトを無効にしていても表示します。$2
(.*)This displays the history of all WebSocket traffic sent between Burp's browser and your target applications\. WebSockets provide long-lived connections for streaming data and other asynchronous traffic\.(.*)	$1Burpブラウザと対象アプリケーションの間で送信されたすべてのWebSocketトラフィックの履歴を表示します。WebSocketは、データのストリーミングやその他の非同期通信用に永続的な接続を提供します。$2
(.*)When enabled, requests sent by Burp's browser are held here so that you can analyze and modify them before forwarding them to the target server\.(.*)	$1有効にすると、Burpブラウザが送信したリクエストがここにとどまり、対象サーバに転送する前に分析や変更ができます。$2
(.*)[Cc]apturing all items(.*)	$1すべてのアイテムをキャプチャ$2
(.*)[Cc]apturing requests up to (100kB|1MB)(.*)	$1最大リクエスト $2$3
(.*)[Cc]apturing responses up to (100kB|1MB)(.*)	$1最大レスポンス $2$3
(.*)[Dd]iscarding (HTML, )?(script, )?(XML, )?(CSS, )?(HTML|script|XML|CSS|flash) content(.*)	$1$2$3$4$5$6を破棄$7
(.*)[Dd]iscarding (HTML, )?(script, )?(XML, )?(CSS, )?flash and general binary content(.*)	$1$2$3$4$5flash, バイナリ全般を破棄$6
(.*)[Dd]iscarding (HTML, )?(script, )?(XML, )?(CSS, )?general binary content(.*)	$1$2$3$4$5バイナリ全般を破棄$6
(.*)[Dd]iscarding (HTML, )?(script, )?(XML, )?(CSS, )?general text and flash content(.*)	$1$2$3$4$5テキスト全般, flashを破棄$6
(.*)[Dd]iscarding (HTML, )?(script, )?(XML, )?(CSS, )?general text and image content(.*)	$1$2$3$4$5テキスト全般, 画像を破棄$6
(.*)[Dd]iscarding (HTML, )?(script, )?(XML, )?(CSS, )?general text content(.*)	$1$2$3$4$5テキスト全般を破棄$6
(.*)[Dd]iscarding (HTML, )?(script, )?(XML, )?(CSS, )?general text(, flash)? and general binary content(.*)	$1$2$3$4$5テキスト全般$6, バイナリ全般を破棄$7
(.*)[Dd]iscarding (HTML, )?(script, )?(XML, )?(CSS, )?general text, image and flash content(.*)	$1$2$3$4$5テキスト全般, 画像, flashを破棄$6
(.*)[Dd]iscarding (HTML, )?(script, )?(XML, )?(CSS, )?general text, image(, flash)? and general binary content(.*)	$1$2$3$4$5テキスト全般, 画像$6, バイナリ全般を破棄$7
(.*)[Dd]iscarding (HTML, )?(script, )?(XML, )?(CSS, )?image and flash content(.*)	$1$2$3$4$5画像, flashを破棄$6
(.*)[Dd]iscarding (HTML, )?(script, )?(XML, )?(CSS, )?image content(.*)	$1$2$3$4$5画像を破棄$6
(.*)[Dd]iscarding (HTML, )?(script, )?(XML, )?(CSS, )?image(, flash)? and general binary content(.*)	$1$2$3$4$5画像$6, バイナリ全般を破棄$7
(.*)[Dd]iscarding (HTML|script|XML|CSS)(, script)?(, XML)?(, CSS)? and (script|XML|CSS|flash) content(.*)	$1$2$3$4$5, $6を破棄$7
(.*)[Dd]iscarding (HTML|script|XML|CSS)(, script)?(, XML)?(, CSS)? and general binary content(.*)	$1$2$3$4$5, バイナリ全般を破棄$6
(.*)[Dd]iscarding (HTML|script|XML|CSS)(, script)?(, XML)?(, CSS)? and general text content(.*)	$1$2$3$4$5, テキスト全般を破棄$6
(.*)[Dd]iscarding (HTML|script|XML|CSS)(, script)?(, XML)?(, CSS)? and image content(.*)	$1$2$3$4$5, 画像を破棄$6
(.*)[Dd]iscarding ([2-5]xx) responses(.*)	$1$2レスポンス破棄$3
(.*)[Dd]iscarding ([2-5]xx)((, [2-5]xx)*)( and ([2-5]xx)) responses(.*)	$1$2$3, $6レスポンス破棄$7
